ds,y
2022-01-01 00:00:00,0.3048905885431004
2022-01-01 01:00:00,0.7848527890344844
2022-01-01 02:00:00,0.8793162684680811
2022-01-01 03:00:00,0.31237468681591707
2022-01-01 04:00:00,0.7803064475731571
2022-01-01 05:00:00,1.0849972896459101
2022-01-01 06:00:00,1.4898683764416674
2022-01-01 07:00:00,1.6015912263879015
2022-01-01 08:00:00,2.3830649942947515
2022-01-01 09:00:00,2.355154590870362
2022-01-01 10:00:00,2.4358025578887457
2022-01-01 11:00:00,2.5729017173693416
2022-01-01 12:00:00,3.149215030585018
2022-01-01 13:00:00,2.427623937208163
2022-01-01 14:00:00,2.7660290397482648
2022-01-01 15:00:00,2.664696190242659
2022-01-01 16:00:00,1.9646437762841982
2022-01-01 17:00:00,1.8040688885018663
2022-01-01 18:00:00,1.193411831804775
2022-01-01 19:00:00,1.2703218683113597
2022-01-01 20:00:00,1.305095366733009
2022-01-01 21:00:00,0.5855929011914222
2022-01-01 22:00:00,0.5898877931281357
2022-01-01 23:00:00,0.5165411151311101
2022-01-02 00:00:00,0.49905921190525704
2022-01-02 01:00:00,0.36680610331763974
2022-01-02 02:00:00,0.5620480674045585
2022-01-02 03:00:00,1.0239898831185195
2022-01-02 04:00:00,1.2239307667427999
2022-01-02 05:00:00,1.4271551502006536
2022-01-02 06:00:00,1.5168675056442973
2022-01-02 07:00:00,1.6638037947259317
2022-01-02 08:00:00,1.961544477218087
2022-01-02 09:00:00,2.269805820656945
2022-01-02 10:00:00,2.6487152524063076
2022-01-02 11:00:00,2.7097891418213793
2022-01-02 12:00:00,2.2091478849678117
2022-01-02 13:00:00,2.634893000792383
2022-01-02 14:00:00,2.2035654505223587
2022-01-02 15:00:00,2.4349722514250955
2022-01-02 16:00:00,2.0334657113519174
2022-01-02 17:00:00,1.6116726753727797
2022-01-02 18:00:00,1.808752779700897
2022-01-02 19:00:00,1.5107511791246075
2022-01-02 20:00:00,1.0258623025124365
2022-01-02 21:00:00,1.0515794940687724
2022-01-02 22:00:00,0.8629382053685398
2022-01-02 23:00:00,0.6628098550668079
2022-01-03 00:00:00,0.5869423469596547
2022-01-03 01:00:00,0.6311069485028109
2022-01-03 02:00:00,0.7940955587460683
2022-01-03 03:00:00,0.9402161618734264
2022-01-03 04:00:00,1.1552993698241705
2022-01-03 05:00:00,1.4897021647952258
2022-01-03 06:00:00,1.6097346638747203
2022-01-03 07:00:00,1.8552513481362436
2022-01-03 08:00:00,1.6911387420982185
2022-01-03 09:00:00,2.400202671451998
2022-01-03 10:00:00,2.47649291434068
2022-01-03 11:00:00,2.4274240364410606
2022-01-03 12:00:00,2.5258062540334927
2022-01-03 13:00:00,2.694124585402787
2022-01-03 14:00:00,2.2551879373146706
2022-01-03 15:00:00,2.2406506594051567
2022-01-03 16:00:00,1.919583323586269
2022-01-03 17:00:00,1.5761870120824106
2022-01-03 18:00:00,1.652989106902048
2022-01-03 19:00:00,1.374031552416167
2022-01-03 20:00:00,0.8503349603240085
2022-01-03 21:00:00,0.77320890243335
2022-01-03 22:00:00,0.6202718315365091
2022-01-03 23:00:00,0.37212167040676103
2022-01-04 00:00:00,0.6455567132686202
2022-01-04 01:00:00,0.732539958308964
2022-01-04 02:00:00,0.7803298196824293
2022-01-04 03:00:00,0.9589964131672492
2022-01-04 04:00:00,1.3893813177445282
2022-01-04 05:00:00,1.4126764343215057
2022-01-04 06:00:00,1.37722899483943
2022-01-04 07:00:00,2.038357038642193
2022-01-04 08:00:00,2.1707358670867882
2022-01-04 09:00:00,2.2355374115975275
2022-01-04 10:00:00,2.562875098135078
